"Year
of
Death","Age
Group","U.S.
Population
Suicide
Deaths","U.S.
Population
Population
Estimate","U.S.
Population
Crude
Suicide Rate per
100,000","Male U.S.
Population
Suicide
Deaths","Male U.S.
Population
Population
Estimate","Male U.S.
Population
Crude
Suicide Rate per
100,000","Age
Group
2","Female U.S.
Population
Suicide
Deaths","Female U.S.
Population
Population
Estimate","Female U.S.
Population
Crude
Suicide Rate per
100,000"
2005,18–34,8455,64647330,13.07865305,6996,32333577,21.63695034,18–34,1459,32313753,4.515105379
2005,35–54,13541,85006923,15.92929084,10332,41640919,24.81213251,35–54,3209,43366004,7.399805617
2005,55–74,6554,48469473,13.52191306,5190,22849458,22.71388669,55+,1814,35577238,5.098765677
2005,75+,3060,16400718,18.65771974,2610,6443495,40.50596765,.,.,.,.
2005,Total,31610,214524444,14.73491757,25128,103267449,24.3329338,Total,6482,111256995,5.826150527
2006,18–34,8453,68889207,12.27042721,7032,34963112,20.11262613,18–34,1421,33926095,4.188516244
2006,35–54,14017,86956984,16.11946431,10641,43039616,24.72373359,35–54,3376,43917368,7.687163766
2006,55–74,6967,50547785,13.78299761,5431,23904664,22.71941576,55+,1957,37967969,5.154344706
2006,75+,2915,18254318,15.96882447,2494,6929470,35.99120856,.,.,.,.
2006,Total,32352,224648294,14.40117769,25598,108836862,23.51960497,Total,6754,115811432,5.83189404
2007,18–34,8764,69086646,12.68551957,7244,35078173,20.65101851,18–34,1520,34008473,4.469474416
2007,35–54,14500,87065322,16.65416226,10976,43130001,25.44864305,35–54,3524,43935321,8.020881422
2007,55–74,7513,52119841,14.41485595,5829,24679799,23.61850678,55+,2095,38854881,5.391857975
2007,75+,2977,18443295,16.14136736,2566,7028456,36.50872966,.,.,.,.
2007,Total,33754,226715104,14.88828905,26615,109916429,24.21385069,Total,7139,116798675,6.112226872
2008,18–34,8835,69535169,12.70580072,7266,35274416,20.59849836,18–34,1569,34260753,4.579584109
2008,35–54,14990,86844280,17.26077987,11371,43022463,26.43037894,35–54,3619,43821817,8.258443505
2008,55–74,8261,53875095,15.33361565,6558,25530954,25.68646671,55+,2131,39855863,5.346766673
