Year,region,state,age,vet_deaths,vet_rate,pop_deaths,pop_rate
2005, ,Total U.S.,Total,6056,24.7,31610,14.7
2005, ,Total U.S.,18–34,574,25.5,8455,13.1
2005, ,Total U.S.,35–54,2122,28.1,13541,15.9
2005, ,Total U.S.,55–74,1970,20.1,6554,13.5
2005, ,Total U.S.,75,1387,28.1,3060,18.7
2005,Northeast,All,Total,728,18.1,4298,10.7
2005,Northeast,All,18–34,52,19.2,1096,9.9
2005,Northeast,All,35–54,240,22.6,1891,11.6
2005,Northeast,All,55–74,247,14.9,874,9.4
2005,Northeast,All,75,189,18.4,437,12.3
2005,Northeast,Connecticut,Total,49,18,284,11.1
2005,Northeast,Connecticut,18–34,<10,—,56,8.6
2005,Northeast,Connecticut,35–54,20,28.6,144,13.3
2005,Northeast,Connecticut,55–74,15,13.2*,57,9.6
2005,Northeast,Connecticut,75,10–20,—,27,11.7
2005,Northeast,Maine,Total,46,31.9,173,17.2
2005,Northeast,Maine,18–34,<10,—,38,15.4
2005,Northeast,Maine,35–54,16,36.4*,67,16.2
2005,Northeast,Maine,55–74,18,30.0*,50,19.6
2005,Northeast,Maine,75,<10,—,18,20.7*
2005,Northeast,Massachusetts,Total,67,14.1,468,9.9
2005,Northeast,Massachusetts,18–34,<10,—,130,9.8
2005,Northeast,Massachusetts,35–54,20–30,—,203,10.5
2005,Northeast,Massachusetts,55–74,20,10.2,94,9
2005,Northeast,Massachusetts,75,20,15.9,41,9.9
2005,Northeast,New Hampshire,Total,33,25.2,158,16.3
2005,Northeast,New Hampshire,18–34,<10,—,31,12.6
2005,Northeast,New Hampshire,35–54,<10,—,75,17.6
2005,Northeast,New Hampshire,55–74,15,26.3*,33,14.6
2005,Northeast,New Hampshire,75,<10,—,19,26.8*
2005,Northeast,New Jersey,Total,65,11.5,524,8.2
2005,Northeast,New Jersey,18–34,<10,—,143,8.3
2005,Northeast,New Jersey,35–54,21,15.3,226,8.5
2005,Northeast,New Jersey,55–74,22,9.3,97,6.7
2005,Northeast,New Jersey,75,10–20,—,58,10.8
2005,Northeast,New York,Total,162,14,1154,8.2
2005,Northeast,New York,18–34,12,14.8*,313,7.6
2005,Northeast,New York,35–54,46,14.7,487,8.6
2005,Northeast,New York,55–74,65,13.7,243,7.6
2005,Northeast,New York,75,39,13.3,111,9.5
2005,Northeast,Pennsylvania,Total,279,24.7,1393,15.2
2005,Northeast,Pennsylvania,18–34,21,27.6,350,14.5
2005,Northeast,Pennsylvania,35–54,97,33,622,17.1
2005,Northeast,Pennsylvania,55–74,86,18.4,270,12.3
2005,Northeast,Pennsylvania,75,75,25.8,151,16.3
2005,Northeast,Rhode Island,Total,13,14.6*,68,8.7
2005,Northeast,Rhode Island,18–34,<10,—,10–20,—
2005,Northeast,Rhode Island,35–54,<10,—,30,9.5
