Year,region,state,group,method,deaths,group_percent
2005, ,Total U.S.,Veteran Method,Suffocation,829,13.7
2005, ,Total U.S.,Veteran Method,Poisoning,793,13.1
2005, ,Total U.S.,Veteran Method,Firearms,"4,099",67.7
2005, ,Total U.S.,Veteran Method,Other suicide,335,5.5
2005,Northeast,All,Veteran Method,Suffocation,136,18.7
2005,Northeast,All,Veteran Method,Poisoning,72,9.9
2005,Northeast,All,Veteran Method,Firearms,465,63.9
2005,Northeast,All,Veteran Method,Other suicide,55,7.6
2005,Northeast,Connecticut,Veteran Method,Firearms,30,61.2
2005,Northeast,Connecticut,Veteran Method,Other and low-count methods,19,38.8
2005,Northeast,Maine,Veteran Method,Firearms,33,71.7
2005,Northeast,Maine,Veteran Method,Other and low-count methods,13,28.3
2005,Northeast,Massachusetts,Veteran Method,Suffocation,19,28.4
2005,Northeast,Massachusetts,Veteran Method,Firearms,32,47.8
2005,Northeast,Massachusetts,Veteran Method,Other and low-count methods,16,23.9
2005,Northeast,New Hampshire,Veteran Method,Other and low-count methods,33,100
2005,Northeast,New Jersey,Veteran Method,Suffocation,14,21.5
2005,Northeast,New Jersey,Veteran Method,Firearms,31,47.7
2005,Northeast,New Jersey,Veteran Method,Other and low-count methods,20,30.8
2005,Northeast,New York,Veteran Method,Suffocation,33,20.4
2005,Northeast,New York,Veteran Method,Poisoning,12,7.4
2005,Northeast,New York,Veteran Method,Firearms,105,64.8
2005,Northeast,New York,Veteran Method,Other suicide,12,7.4
2005,Northeast,Pennsylvania,Veteran Method,Suffocation,44,15.8
2005,Northeast,Pennsylvania,Veteran Method,Poisoning,22,7.9
2005,Northeast,Pennsylvania,Veteran Method,Firearms,198,71
2005,Northeast,Pennsylvania,Veteran Method,Other suicide,15,5.4
2005,Northeast,Rhode Island,Veteran Method,Other and low-count methods,13,100
2005,Northeast,Vermont,Veteran Method,Other and low-count methods,14,100
2005,Midwest,All,Veteran Method,Suffocation,225,15.8
2005,Midwest,All,Veteran Method,Poisoning,213,14.9
2005,Midwest,All,Veteran Method,Firearms,921,64.5
2005,Midwest,All,Veteran Method,Other suicide,69,4.8
2005,Midwest,Illinois,Veteran Method,Suffocation,44,22.2
2005,Midwest,Illinois,Veteran Method,Poisoning,24,12.1
2005,Midwest,Illinois,Veteran Method,Firearms,114,57.6
2005,Midwest,Illinois,Veteran Method,Other suicide,16,8.1
2005,Midwest,Indiana,Veteran Method,Suffocation,22,14.6
2005,Midwest,Indiana,Veteran Method,Firearms,107,70.9
2005,Midwest,Indiana,Veteran Method,Other and low-count methods,22,14.6
2005,Midwest,Iowa,Veteran Method,Firearms,42,66.7
2005,Midwest,Iowa,Veteran Method,Other and low-count methods,21,33.3
2005,Midwest,Kansas,Veteran Method,Poisoning,13,18.6
2005,Midwest,Kansas,Veteran Method,Firearms,44,62.9
2005,Midwest,Kansas,Veteran Method,Other and low-count methods,13,18.6
2005,Midwest,Michigan,Veteran Method,Suffocation,27,14
2005,Midwest,Michigan,Veteran Method,Poisoning,31,16.1
2005,Midwest,Michigan,Veteran Method,Firearms,125,64.8
2005,Midwest,Michigan,Veteran Method,Other suicide,10,5.2
2005,Midwest,Minnesota,Veteran Method,Suffocation,16,17.2
2005,Midwest,Minnesota,Veteran Method,Firearms,56,60.2
2005,Midwest,Minnesota,Veteran Method,Other and low-count methods,21,22.6
2005,Midwest,Missouri,Veteran Method,Poisoning,20,12.7
2005,Midwest,Missouri,Veteran Method,Firearms,115,73.2
2005,Midwest,Missouri,Veteran Method,Other and low-count methods,22,14
2005,Midwest,Nebraska,Veteran Method,Firearms,20,57.1
2005,Midwest,Nebraska,Veteran Method,Other and low-count methods,15,42.9
2005,Midwest,North Dakota,Veteran Method,Other and low-count methods,19,100
2005,Midwest,Ohio,Veteran Method,Suffocation,48,16.4
2005,Midwest,Ohio,Veteran Method,Poisoning,48,16.4
2005,Midwest,Ohio,Veteran Method,Firearms,182,62.3
2005,Midwest,Ohio,Veteran Method,Other suicide,14,4.8
2005,Midwest,South Dakota,Veteran Method,Other and low-count methods,32,100
2005,Midwest,Wisconsin,Veteran Method,Poisoning,25,20
2005,Midwest,Wisconsin,Veteran Method,Firearms,78,62.4
2005,Midwest,Wisconsin,Veteran Method,Other and low-count methods,22,17.6
2005,South,All,Veteran Method,Suffocation,276,11.4
2005,South,All,Veteran Method,Poisoning,280,11.5
2005,South,All,Veteran Method,Firearms,"1,745",71.8
2005,South,All,Veteran Method,Other suicide,128,5.3
2005,South,Alabama,Veteran Method,Suffocation,18,15.5
2005,South,Alabama,Veteran Method,Firearms,83,71.6
2005,South,Alabama,Veteran Method,Other and low-count methods,15,12.9
2005,South,Arkansas,Veteran Method,Firearms,60,77.9
2005,South,Arkansas,Veteran Method,Other and low-count methods,17,22.1
2005,South,Delaware,Veteran Method,Other and low-count methods,18,100
2005,South,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2005,South,Florida,Veteran Method,Suffocation,51,10.5
2005,South,Florida,Veteran Method,Poisoning,74,15.2
2005,South,Florida,Veteran Method,Firearms,328,67.5
2005,South,Florida,Veteran Method,Other suicide,33,6.8
2005,South,Georgia,Veteran Method,Suffocation,13,7.1
2005,South,Georgia,Veteran Method,Poisoning,19,10.4
2005,South,Georgia,Veteran Method,Firearms,137,75.3
2005,South,Georgia,Veteran Method,Other suicide,13,7.1
2005,South,Kentucky,Veteran Method,Suffocation,17,14.9
2005,South,Kentucky,Veteran Method,Firearms,79,69.3
2005,South,Kentucky,Veteran Method,Other and low-count methods,18,15.8
2005,South,Louisiana,Veteran Method,Firearms,51,76.1
2005,South,Louisiana,Veteran Method,Other and low-count methods,16,23.9
2005,South,Maryland,Veteran Method,Poisoning,13,13.7
